gene_id,890_hisat2,913_hisat2,933_hisat2
BBB50_RS01915,487075,430740,412102
BBB50_RS01920,23834,19560,19140
BBB50_RS01925,108525,88105,98556
BBB50_RS01930,127441,92624,104037
BBB50_RS01935,112480,91170,105631
BBB50_RS01940,267024,226311,226489
BBB50_RS01945,45986,30756,33899
BBB50_RS01950,4233,2555,2857
BBB50_RS01955,21223,21497,21661
BBB50_RS01960,11422,8071,7720
BBB50_RS01965,12146,3406,3607
BBB50_RS01970,20300,5921,5626
BBB50_RS01975,2600,1027,1283
BBB50_RS01980,1100,793,1096
BBB50_RS01985,17925,25691,33063
BBB50_RS01990,4546,1213,1520
BBB50_RS01995,4063,1679,2238
BBB50_RS02000,6270,3374,4243
BBB50_RS02005,1774,1177,1429
BBB50_RS02010,4282,2838,3846
BBB50_RS02015,21054,24638,21208
BBB50_RS02020,4448,3778,4081
BBB50_RS02025,1105,939,908
BBB50_RS02030,2054,1953,2145
BBB50_RS02035,1635,1165,1573
BBB50_RS02040,18023,12418,13907
BBB50_RS02045,104292,34509,25392
BBB50_RS02050,30930,31060,32986
BBB50_RS02055,21827,21910,24233
BBB50_RS02060,2887,3035,3622
BBB50_RS02065,29412,28331,36430
BBB50_RS02070,75456,75313,97149
BBB50_RS02080,17624,16033,16724
BBB50_RS02085,4946,4446,4381
BBB50_RS02090,2778,2807,3403
BBB50_RS02095,1884,1385,1682
BBB50_RS02100,1283,1149,1440
BBB50_RS02105,23222,20358,22853
BBB50_RS02110,46876,50961,47672
BBB50_RS02115,19063,16739,17928
BBB50_RS02120,1492,1144,1407
BBB50_RS02125,11191,9828,11319
BBB50_RS02130,11052,8746,10504
BBB50_RS02135,23598,18812,22635
BBB50_RS02140,95040,73498,80411
BBB50_RS02145,6244,8980,10251
BBB50_RS02150,3310,5122,5840
BBB50_RS02155,6346,8288,10583
BBB50_RS02160,4703,5521,6498
BBB50_RS02165,8568,8504,9430
BBB50_RS02170,9865,9238,10383
BBB50_RS02180,15947,16428,13172
BBB50_RS02185,14358,15003,11505
BBB50_RS02190,7839,10043,10811
BBB50_RS02195,16817,22212,20361
BBB50_RS02200,8016,10357,9018
BBB50_RS02205,3866,4998,4721
BBB50_RS02210,31428,40178,36478
BBB50_RS02215,2164,1936,2104
BBB50_RS02220,10345,8415,11760
BBB50_RS02225,5976,4129,4503
BBB50_RS02230,8382,5983,6075
BBB50_RS02240,6576,3904,2090
BBB50_RS02245,78437,34087,34963
BBB50_RS02255,11723,5215,7362
BBB50_RS02260,2198,1292,1589
BBB50_RS02265,3464,3282,4535
BBB50_RS02270,39160,36562,41694
BBB50_RS02275,2815,2197,2553
BBB50_RS02280,54631,56781,57809
BBB50_RS02285,17756,16015,18163
BBB50_RS02290,8239,7203,8491
BBB50_RS02295,436,463,539
BBB50_RS02300,32,34,47
BBB50_RS02305,9275,11369,14281
BBB50_RS02310,523,750,1513
BBB50_RS02315,116,84,138
BBB50_RS02320,80,75,43
BBB50_RS02325,1366,3301,2114
BBB50_RS02330,0,1,1
BBB50_RS02335,320,119,52
BBB50_RS02340,12,1,19
BBB50_RS02345,84714,29065,19350
BBB50_RS02350,5820,6349,6837
BBB50_RS02355,18420,19307,20465
BBB50_RS02360,23736,25539,23259
BBB50_RS02365,27168,30322,32884
BBB50_RS02370,2053,1772,1791
BBB50_RS02375,770,667,657
BBB50_RS02380,2671,1450,1728
BBB50_RS02385,29083,33590,32954
BBB50_RS02390,7568,7229,9760
BBB50_RS02395,38859,65491,47602
BBB50_RS02400,7635,10585,8478
BBB50_RS02405,96426,86819,86045
BBB50_RS02410,6602,4561,5852
BBB50_RS02415,2466,1627,1848
BBB50_RS02420,3998,3207,2788
BBB50_RS02425,15561,11015,16682
BBB50_RS02430,5175,5153,6705
BBB50_RS02435,16005,13595,14785
BBB50_RS02440,19178,15967,17618
BBB50_RS02445,64929,39825,36375
BBB50_RS02450,21069,18696,20754
BBB50_RS02455,1766,1501,2195
BBB50_RS02460,1703,1718,2005
BBB50_RS02465,66316,76025,77035
BBB50_RS02475,51769,55783,75759
BBB50_RS02480,82827,77565,80839
BBB50_RS02485,32692,32887,46975
BBB50_RS02490,15720,15034,16457
BBB50_RS02495,27327,26422,31736
BBB50_RS02500,4372,3666,5008
BBB50_RS02505,2042,1872,2542
BBB50_RS02510,13370,5990,7016
BBB50_RS02515,2326,1343,1716
BBB50_RS02520,9419,6951,7157
BBB50_RS02525,2877,2331,2530
BBB50_RS02530,37278,11052,15164
BBB50_RS02535,4345,1520,2090
BBB50_RS02540,11224,4586,6048
BBB50_RS02545,13913,15547,20498
BBB50_RS02550,20992,18236,19508
BBB50_RS02555,35798,32642,30189
BBB50_RS02560,7635,5083,5808
BBB50_RS02565,74839,63437,68893
BBB50_RS02570,203280,179199,180872
BBB50_RS02575,3358,2501,2855
BBB50_RS02580,8322,7555,9389
BBB50_RS02585,2341,2171,3079
BBB50_RS02590,5970,7200,7537
BBB50_RS02595,10023,8799,11038
BBB50_RS02600,25566,25283,25665
BBB50_RS02605,45613,38952,40642
BBB50_RS02610,19861,24281,23532
BBB50_RS02615,12094,13419,14526
BBB50_RS02620,23906,23656,30225
BBB50_RS02625,94991,87595,68364
BBB50_RS02630,2980,3019,3982
BBB50_RS02635,10610,9563,11555
BBB50_RS02640,12714,12010,15901
BBB50_RS02645,6865,6361,8720
BBB50_RS02650,17361,18967,22667
BBB50_RS02655,34316,34249,37142
BBB50_RS02660,112,113,221
BBB50_RS02665,11116,10290,11463
BBB50_RS02670,2171,1822,2326
BBB50_RS02675,4058,3680,3845
BBB50_RS02680,525,513,554
BBB50_RS02685,2977,1953,2332
BBB50_RS02690,1527,1362,1692
BBB50_RS02695,4855,3743,4806
BBB50_RS02700,10578,9865,10038
BBB50_RS02705,14602,10488,11843
BBB50_RS02710,119844,64118,56439
BBB50_RS02715,234745,114070,84285
BBB50_RS02720,89452,35533,35540
BBB50_RS02725,6066,6705,8289
BBB50_RS02730,10768,4263,6919
BBB50_RS02735,112233,70352,91983
BBB50_RS02740,115641,74536,82385
BBB50_RS02745,183937,160134,188039
BBB50_RS02750,1115064,1042495,906752
BBB50_RS02755,20669,15797,16774
BBB50_RS02760,1952,1129,1397
BBB50_RS02765,6899,5636,6980
BBB50_RS02770,8692,8567,9100
BBB50_RS02775,9755,10892,11706
BBB50_RS02780,7861,8291,9024
BBB50_RS02785,11726,11893,12045
BBB50_RS02790,9478,10408,9400
BBB50_RS02795,7436,6746,6354
BBB50_RS02800,13889,17137,18529
BBB50_RS02805,39966,38306,40208
BBB50_RS02810,25321,24497,26409
BBB50_RS02815,196985,190860,175562
BBB50_RS02820,164192,144168,131340
BBB50_RS02825,5095,4513,4307
BBB50_RS02830,61511,51746,55426
BBB50_RS02840,927,948,1090
BBB50_RS02845,30338,27395,29524
BBB50_RS02850,213,204,201
BBB50_RS02855,38802,25852,36309
BBB50_RS02860,83317,76507,90369
BBB50_RS02865,671,599,765
BBB50_RS02875,2099,2925,2500
BBB50_RS02880,13235,16451,16198
BBB50_RS02885,7253,9404,9723
BBB50_RS02890,15510,12858,20352
BBB50_RS02895,6955,5542,7891
BBB50_RS02900,1890,1339,1833
BBB50_RS02905,2041,1208,1912
BBB50_RS02910,2343,1615,2302
BBB50_RS02915,13523,10164,11807
BBB50_RS02920,6775,5290,5075
BBB50_RS02925,12974,16399,15429
BBB50_RS02930,112108,150666,134258
BBB50_RS02935,4800,4971,4774
BBB50_RS02940,29476,35802,27249
BBB50_RS02945,508,667,694
BBB50_RS02950,6627,6814,7714
BBB50_RS02955,16780,16996,21827
BBB50_RS02960,72300,64528,68566
BBB50_RS02965,703,722,1064
BBB50_RS02970,12380,14977,16926
BBB50_RS02975,9759,9599,10019
BBB50_RS02980,49204,46046,47028
BBB50_RS02985,11093,10171,11026
BBB50_RS02990,16857,17537,18875
BBB50_RS02995,112609,52463,49292
BBB50_RS03000,9260,10920,12217
BBB50_RS03005,11107,12527,11610
BBB50_RS03010,15384,10988,12781
BBB50_RS03015,2922,2261,2785
BBB50_RS03020,10762,16395,24591
BBB50_RS03025,14762,16415,17946
BBB50_RS03030,8055,7357,7861
BBB50_RS03035,26041,43274,55642
BBB50_RS03040,2196,1820,2431
BBB50_RS03045,10967,8067,11280
BBB50_RS03050,8497,6566,8423
BBB50_RS03055,10632,6912,9434
BBB50_RS03060,14481,9970,11961
BBB50_RS03065,4266,3107,3627
BBB50_RS03070,14680,15741,17184
